epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.59817,0.68512,0.525,1,0.63832,5.001e-05,5.001e-05,5.001e-05
2,5.11965,0.65987,0.7,1,0.62287,0.00011438,0.00011438,0.00011438
3,7.54583,0.57854,0.75,1,0.50368,0.000176109,0.000176109,0.000176109
4,9.93864,0.51142,0.775,1,0.41928,0.000235197,0.000235197,0.000235197
5,12.3018,0.4522,0.775,1,0.35745,0.000291645,0.000291645,0.000291645
6,14.6731,0.39398,0.8,1,0.28798,0.000345452,0.000345452,0.000345452
7,16.9341,0.31818,1,1,0.23086,0.000396619,0.000396619,0.000396619
8,19.2194,0.2391,1,1,0.09054,0.000445146,0.000445146,0.000445146
9,21.4868,0.18365,1,1,0.04,0.000491032,0.000491032,0.000491032
10,23.7978,0.14916,1,1,0.02194,0.000534277,0.000534277,0.000534277
11,26.0871,0.09823,1,1,0.01347,0.000574882,0.000574882,0.000574882
12,28.3779,0.0912,1,1,0.00344,0.000612846,0.000612846,0.000612846
13,30.6524,0.03768,1,1,0.00092,0.00064817,0.00064817,0.00064817
14,32.9127,0.01931,1,1,0.00108,0.000680853,0.000680853,0.000680853
15,35.1974,0.06588,0.975,1,0.02668,0.000710895,0.000710895,0.000710895
16,37.4765,0.01249,0.975,1,0.04853,0.000738298,0.000738298,0.000738298
17,39.7512,0.07852,0.975,1,0.07407,0.000763059,0.000763059,0.000763059
18,42.0548,0.04618,1,1,0.00034,0.00078518,0.00078518,0.00078518
19,44.3423,0.07478,1,1,0.01249,0.000804661,0.000804661,0.000804661
20,46.5964,0.0121,0.975,1,0.03488,0.000821501,0.000821501,0.000821501
21,48.8717,0.05848,0.7,1,0.96386,0.0008357,0.0008357,0.0008357
22,51.1287,0.05855,0.975,1,0.04832,0.000847259,0.000847259,0.000847259
23,53.401,0.0203,1,1,0.0058,0.000856178,0.000856178,0.000856178
24,55.6603,0.00662,1,1,0.00123,0.000862456,0.000862456,0.000862456
25,58.0116,0.04753,1,1,0.00013,0.000866093,0.000866093,0.000866093
26,60.3178,0.01691,1,1,0.00011,0.000841835,0.000841835,0.000841835
27,62.6277,0.04753,1,1,0.00047,0.000808828,0.000808828,0.000808828
28,64.9191,0.03818,1,1,0.00015,0.000775822,0.000775822,0.000775822
29,67.2531,0.04792,1,1,4e-05,0.000742815,0.000742815,0.000742815
30,69.5694,0.03947,1,1,4e-05,0.000709809,0.000709809,0.000709809
31,71.884,0.10534,1,1,0.00012,0.000676802,0.000676802,0.000676802
32,74.1968,0.07048,1,1,4e-05,0.000643795,0.000643795,0.000643795
33,76.5241,0.00617,1,1,0.00014,0.000610789,0.000610789,0.000610789
34,78.826,0.00558,1,1,0.00013,0.000577782,0.000577782,0.000577782
35,81.1285,0.0041,1,1,0.00032,0.000544776,0.000544776,0.000544776
36,83.4685,0.00299,1,1,0.00041,0.000511769,0.000511769,0.000511769
37,85.8278,0.00257,1,1,0.00066,0.000478762,0.000478762,0.000478762
38,88.1764,0.00793,1,1,0.00354,0.000445756,0.000445756,0.000445756
39,90.5009,0.01156,1,1,0.00162,0.000412749,0.000412749,0.000412749
40,92.8353,0.01746,1,1,0.00205,0.000379743,0.000379743,0.000379743
41,95.1678,0.02277,1,1,0.00243,0.000346736,0.000346736,0.000346736
42,97.4666,0.00468,1,1,0.00228,0.000313729,0.000313729,0.000313729
43,99.7884,0.00776,1,1,0.00398,0.000280723,0.000280723,0.000280723
44,102.091,0.01132,1,1,0.00355,0.000247716,0.000247716,0.000247716
45,104.398,0.02676,1,1,0.00321,0.00021471,0.00021471,0.00021471
46,106.698,0.00743,1,1,0.0031,0.000181703,0.000181703,0.000181703
47,109.071,0.03034,1,1,0.00297,0.000148696,0.000148696,0.000148696
48,111.385,0.00896,1,1,0.00237,0.00011569,0.00011569,0.00011569
49,113.676,0.03001,1,1,0.00781,8.26832e-05,8.26832e-05,8.26832e-05
50,116.091,0.0044,1,1,0.00214,4.96766e-05,4.96766e-05,4.96766e-05
